2026-05-13 22:47:33 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-13 22:47:39 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-13 22:47:47 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-13 22:47:48 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-13 23:25:03 | INFO | face_attendance.auth | Added users.department column.
2026-05-13 23:26:39 | INFO | face_attendance.streamlit_session | User logged out.
2026-05-13 23:26:39 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-13 23:26:39 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-13 23:26:41 | INFO | face_attendance.streamlit_session | User logged out.
2026-05-13 23:26:41 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-13 23:26:49 | INFO | face_attendance.streamlit_session | User logged out.
2026-05-13 23:26:50 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-13 23:27:18 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-14 00:06:26 | INFO | face_attendance.streamlit_session | User logged out.
2026-05-14 00:06:26 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:06:26 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:06:26 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:08:37 | INFO | face_attendance.streamlit_session | Session restored from cookie for admin
2026-05-14 00:08:40 | INFO | face_attendance.streamlit_session | User logged out.
2026-05-14 00:08:40 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:08:40 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:09:24 | INFO | face_attendance.face_detector | Loading InsightFace model='buffalo_sc' providers=['CPUExecutionProvider'] det_size=(320, 320)
2026-05-14 00:09:24 | INFO | face_attendance.face_detector | InsightFace ready (active pack=unknown).
2026-05-14 00:09:27 | INFO | face_attendance.camera | Burst finished: reads=104 yielded=76
2026-05-14 00:10:18 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-14 00:10:32 | INFO | face_attendance.streamlit_session | User logged out.
2026-05-14 00:10:32 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:10:32 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:11:06 | INFO | face_attendance.streamlit_session | Session restored from cookie for admin
2026-05-14 00:11:12 | INFO | face_attendance.streamlit_session | Session restored from cookie for admin
2026-05-14 00:11:15 | INFO | face_attendance.streamlit_session | User logged out.
2026-05-14 00:11:15 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:11:15 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:11:36 | INFO | face_attendance.streamlit_session | Session restored from cookie for admin
2026-05-14 00:12:07 | INFO | face_attendance.streamlit_session | User logged out.
2026-05-14 00:12:07 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:12:07 | WARNING | face_attendance.streamlit_session | Cookie delete failed: 'fa_session'
2026-05-14 00:12:52 | INFO | face_attendance.camera | Burst finished: reads=104 yielded=76
2026-05-14 00:14:14 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-14 00:14:28 | INFO | face_attendance.camera | Burst finished: reads=107 yielded=79
2026-05-14 01:04:19 | INFO | face_attendance.camera | Burst finished: reads=106 yielded=78
2026-05-14 01:04:27 | INFO | face_attendance.streamlit_session | Session restored from cookie for Fahad
2026-05-14 01:05:58 | INFO | face_attendance.camera | Burst finished: reads=86 yielded=58
2026-05-14 01:06:13 | INFO | face_attendance.camera | Burst finished: reads=107 yielded=79
